Hp pq value
1 1 9598
2 1 519
2 1 2765
3 2 8627
3 1 248
3 2 2034
3 4 5877
4 3 2057
4 5 4660
4 2 1102
4 6 2845
4 2 683
4 10 8417
4 4 1945
4 7 2218
5 14 9054
5 8 2294
5 13 6299
5 11 3577
5 6 2045
5 18 8891
5 13 3834
5 19 8687
5 9 2221
5 11 2560
5 11 2540
5 24 8935
5 4 1902
5 12 2464
5 4 1567
5 26 8704
6 10 2063
6 25 8438
6 4 1469
6 25 7042
6 30 8687
6 36 9855
6 20 2919
6 27 7096
6 23 4516
6 1 373
6 27 6293
6 26 5199
6 38 8790
6 32 8238
6 32 7417
6 24 4197
6 31 6884
6 1 68
6 25 4126
6 46 8929
6 48 8960
6 37 7960
6 25 3968
6 6 1181
6 4 520
6 36 6508
6 36 6468
6 19 2422
6 34 5325
6 31 4387
6 45 7478
6 27 3740
7 24 2826
7 60 8947
7 6 782
7 49 7865
7 37 5155
7 1 53
7 38 4961
7 69 9671
7 47 6779
7 10 1254
7 39 4870
7 44 5569
7 45 5844
7 63 8639
7 76 9766
7 26 2729
7 42 5060
7 34 3892
7 62 8010
7 36 4020
7 64 8205
7 15 1979
7 12 1553
7 75 8725
7 44 4839
7 41 4373
7 65 7500
7 59 6516
7 80 8761
7 48 4978
7 3 256
7 15 1587
7 4 278
7 68 7390
7 93 9452
7 56 5433
7 38 3796
7 9 765
7 14 1456
7 8 575
7 23 2019
7 35 2678
7 66 6144
7 50 4215
7 81 7669
7 30 2263
7 76 6944
7 38 2729
7 34 2507
7 15 1307
7 45 3101
7 10 712
7 47 3286
7 61 4654
7 73 5790
7 95 8125
7 113 9028
7 117 9642
7 61 4642
7 56 4141
7 62 4620
7 15 1250
7 77 5728
7 16 1250
8 72 4993
8 21 1532
8 49 3035
8 116 8789
8 37 2297
8 13 843
8 127 9364
8 9 668
8 55 3521
8 27 1860
8 77 4883
8 17 1191
8 6 475
8 113 8180
8 4 272
8 56 2983
8 138 9487
8 60 3374
8 63 3695
8 138 9125
8 116 8028
8 95 5837
8 109 7250
8 61 3408
8 93 5479
8 125 8244
8 69 3901
8 104 6452
8 100 5847
8 152 9629
8 72 4054
8 16 840
8 121 7513
8 115 7090
8 104 5981
8 161 9810
8 78 4285
8 31 1697
8 115 6830
8 77 4159
8 65 3557
8 32 1714
8 100 5350
8 7 385
8 113 6246
8 37 1974
8 65 3368
8 108 5733
8 103 5348
8 68 3415
8 95 4858
8 175 9729
8 168 9253
8 151 8460
8 173 9489
8 94 4732
8 63 3057
8 68 3391
8 21 1184
8 166 8904
8 176 9372
8 108 5239
8 123 6096
8 135 6886
8 161 8681
8 45 2077
8 133 6696
8 181 9318
8 78 3774
8 74 3527
8 73 3477
8 78 3683
8 33 1593
8 113 5179
8 8 420
8 94 4191
8 150 7154
8 84 3788
8 205 9924
8 55 2502
8 79 3556
8 21 1134
8 174 8583
8 64 2809
8 136 5946
8 168 8073
8 92 3893
8 127 5355
8 166 7816
8 29 1430
8 104 4259
8 161 7188
8 70 3021
8 153 6707
8 99 4074
